last_name;first_name;patronymic;gender;date_of_birth;phone;email;hiring_date;dismissal_date;job_title_id;department_id;salary;manager
Снытко;Агата;Якововна;женский;1991-07-01;+7(662)985-74-25;kevinm@icloud.com;2000-05-10;;4;11;65782;FALSE
Дубин;Сергей;Ермолаевич;мужской;1979-07-06;+7(934)091-51-85;flavell@yahoo.com;2001-01-20;;7;19;295026;FALSE
Шурдукова;Наталья;Игоревич;женский;1971-02-19;+7(33)923-58-67;ahmad@verizon.net;2001-02-18;;4;17;348269;TRUE
Цаплина;Милена;Карповна;женский;1991-08-16;+7(552)057-54-10;mwitte@comcast.net;2001-10-06;;5;3;59714;FALSE
Цур-Милен;Рубен;Денисович;мужской;1984-12-13;+7(197)821-16-70;aardo@verizon.net;2002-03-04;;4;9;338209;TRUE
Трохин;Казимир;Трофимович;мужской;1997-09-09;+7(157)328-55-91;grossman@aol.com;2002-03-07;;8;6;223720;FALSE
Водопьянов;Марк;Елисеевич;мужской;1979-11-07;+7(55)645-54-26;adhere@comcast.net;2002-03-14;;10;12;62172;FALSE
Комолова;Диана;Давидовна;женский;1997-05-26;+7(58)154-97-06;tristan@outlook.com;2002-03-21;;2;14;108290;FALSE
Зюлёва;Марина;Глебовна;женский;1974-05-08;+7(307)631-76-73;jbuchana@sbcglobal.net;2002-04-30;;9;16;153994;FALSE
Бойдало;Наум;Карлович;мужской;1993-08-21;+7(37)917-64-34;scarolan@yahoo.ca;2002-05-08;;6;7;170878;FALSE
Чалый;Ева;Фомевна;женский;1994-11-05;+7(404)212-51-98;flakeg@aol.com;2002-07-10;;2;16;317958;TRUE
Набойченко;Адриан;Ростиславович;мужской;1978-06-23;+7(399)891-64-08;william@aol.com;2002-07-25;;1;17;79277;FALSE
Саитов;Анатолий;Никифорович;мужской;1977-08-03;+7(72)110-13-59;euice@yahoo.com;2002-09-13;;9;18;273886;FALSE
Калганов;Евдоким;Егорович;мужской;1985-07-12;+7(612)107-40-23;wilsonpm@aol.com;2002-09-21;;3;18;179925;FALSE
Шамило;Тимофей;Игоревич;мужской;1980-09-30;+7(128)960-69-68;ramollin@live.com;2002-10-20;;6;20;304134;TRUE
Пронина;Альбина;Ростиславовна;женский;1974-05-01;+7(60)290-90-27;kludge@live.com;2002-11-20;;1;20;214320;FALSE
Мячикова;Ираида;Игоревна;женский;1975-03-13;+7(34)370-19-20;wmszeliga@mac.com;2003-10-11;;4;11;257798;FALSE
Кондра;Инесса;Афанасиевна;женский;1977-04-18;+7(030)364-33-57;yxing@optonline.net;2003-11-26;;7;5;180302;FALSE
Мышелов;Чеслав;Зиновиевич;мужской;1994-07-29;+7(484)027-47-37;jdhildeb@comcast.net;2004-03-16;;4;4;211608;FALSE
Эмских;Самуил;Онисимович;мужской;1972-08-09;+7(384)916-85-75;goresky@comcast.net;2004-08-03;;9;7;299042;FALSE
Южанина;Нона;Серафимовна;женский;1976-06-07;+7(417)939-78-58;crandall@yahoo.com;2004-08-23;;5;13;319998;TRUE
Гарифуллин;Агафон;Вячеславович;мужской;1996-09-29;+7(22)694-98-86;linuxhack@yahoo.ca;2004-10-06;;8;19;298953;FALSE
Ядрышников;Кондрат;Тарасович;мужской;1982-09-07;+7(035)235-25-38;tattooman@att.net;2004-10-09;;10;20;84632;FALSE
Ершова;Светлана;Ивановна;женский;1985-04-18;+7(782)307-53-61;petersko@live.com;2004-10-15;;9;17;114468;FALSE
Борисюка;Эмма;Семеновна;женский;1981-04-20;+7(11)989-91-65;sinkou@yahoo.com;2004-11-02;;3;20;215425;FALSE
Калагин;Мир;Михеевич;мужской;1973-11-05;+7(98)130-08-78;malvar@msn.com;2004-11-26;;4;5;80611;FALSE
Амбражевича;Рената;Елисеевна;женский;1989-01-05;+7(31)174-89-89;tskirvin@gmail.com;2005-04-01;;1;10;266625;FALSE
Клименко;Анатолий;Несторович;мужской;1981-08-02;+7(09)090-64-35;kaiser@outlook.com;2005-06-03;;7;2;313143;TRUE
Ямбушев;Андрон;Тарасович;мужской;1984-10-14;+7(17)284-06-53;pemungkah@verizon.net;2005-08-09;;10;8;132864;FALSE
Крыжова;Дина;Игнатиевна;женский;1995-05-12;+7(752)402-50-24;mlewan@sbcglobal.net;2005-08-31;;4;5;138788;FALSE
